,Event/Tabling,Event Date,Event Name,Event ID,Engagement Type
0,Partner Tabling,2025-05-29,Streams of Hope,E1,Number Kids Engaged
1,Partner Tabling,2025-05-29,Streams of Hope,E1,Number Kids Engaged
2,Partner Tabling,2025-05-29,Streams of Hope,E1,Number Kids Engaged
3,Partner Tabling,2025-05-29,Streams of Hope,E1,Number Kids Engaged
4,Partner Tabling,2025-05-29,Streams of Hope,E1,Number Kids Engaged
5,Partner Tabling,2025-05-29,Streams of Hope,E1,Number Adults Engaged
6,Partner Tabling,2025-05-29,Streams of Hope,E1,Number Adults Engaged
7,Partner Tabling,2025-05-29,Streams of Hope,E1,Number Adults Engaged
8,Partner Tabling,2025-05-29,Streams of Hope,E1,Number Adults Engaged
9,Partner Tabling,2025-05-29,Streams of Hope,E1,Number Adults Engaged
10,Partner Tabling,2025-05-29,Streams of Hope,E1,Number Adults Engaged
11,Partner Tabling,2025-06-02,Grand Rapids Public Library Main Branch,E2,Number Kids Engaged
12,Partner Tabling,2025-06-02,Grand Rapids Public Library Main Branch,E2,Number Kids Engaged
13,Partner Tabling,2025-06-02,Grand Rapids Public Library Main Branch,E2,Number Kids Engaged
14,Partner Tabling,2025-06-02,Grand Rapids Public Library Main Branch,E2,Number Kids Engaged
15,Partner Tabling,2025-06-02,Grand Rapids Public Library Main Branch,E2,Number Kids Engaged
16,Partner Tabling,2025-06-02,Grand Rapids Public Library Main Branch,E2,Number Kids Engaged
17,Partner Tabling,2025-06-02,Grand Rapids Public Library Main Branch,E2,Number Kids Engaged
18,Partner Tabling,2025-06-02,Grand Rapids Public Library Main Branch,E2,Number Kids Engaged
19,Partner Tabling,2025-06-02,Grand Rapids Public Library Main Branch,E2,Number Kids Engaged
20,Partner Tabling,2025-06-02,Grand Rapids Public Library Main Branch,E2,Number Kids Engaged
21,Partner Tabling,2025-06-02,Grand Rapids Public Library Main Branch,E2,Number Kids Engaged
22,Partner Tabling,2025-06-02,Grand Rapids Public Library Main Branch,E2,Number Kids Engaged
